num,dat,guy
0457,2006.07.03,Dave McElfatrick
0458,2006.07.04,Kris Wilson
0459,2006.07.05,Dave McElfatrick
0460,2006.07.07,Dave McElfatrick
0461,2006.07.08,Dave McElfatrick
0462,2006.07.06,Matt Melvin
0463,2006.07.09,NA
0464,2006.07.10,NA
0465,2006.07.11,NA
0466,2006.07.12,NA
0467,2006.07.13,NA
0468,2006.07.14,NA
0469,2006.07.15,NA
0470,2006.07.16,NA
0471,2006.07.17,NA
0472,2006.07.18,NA
0473,2006.07.19,NA
0474,2006.07.20,NA
0475,2006.07.21,NA
0476,2006.07.22,NA
0477,2006.07.24,Dave McElfatrick
0478,2006.07.23,Rob DenBleyker
0479,2006.07.25,Kris Wilson
0480,2006.07.26,Matt Melvin
0481,2006.07.27,Rob DenBleyker
0482,2006.07.28,Rob DenBleyker
0483,2006.07.31,Rob DenBleyker
0484,2006.07.29,Kris Wilson
0485,2006.07.30,Dave McElfatrick
0486,2006.08.01,Matt Melvin
0487,2006.08.03,Dave McElfatrick
0488,2006.08.02,Kris Wilson
0489,2006.08.04,Kris Wilson
0490,2006.08.05,Rob DenBleyker
0491,2006.08.06,Rob DenBleyker
0492,2006.08.07,Dave McElfatrick
0493,2006.08.08,Dave McElfatrick
0494,2006.08.09,Rob DenBleyker
0495,2006.08.10,Kris Wilson
0496,2006.08.11,Rob DenBleyker
0497,2006.08.12,Dave McElfatrick
0498,2006.08.13,Rob DenBleyker
0499,2006.08.14,Dave McElfatrick
0500,2006.08.15,Rob DenBleyker
0501,2006.08.16,Rob DenBleyker
0502,2006.08.17,Dave McElfatrick
0503,2006.08.18,Kris Wilson
0504,2006.08.19,Rob DenBleyker
0505,2006.08.21,Dave McElfatrick
0506,2006.08.23,Rob DenBleyker
0507,2006.08.22,Kris Wilson
0508,2006.08.24,Dave McElfatrick
0509,2006.08.26,Kris Wilson
0510,2006.08.27,Kris Wilson
0511,2006.08.28,Rob DenBleyker
0512,2006.08.29,Matt Melvin
0513,2006.08.30,Dave McElfatrick
0514,2006.08.31,Kris Wilson
0515,2006.09.01,Rob DenBleyker
0516,2006.09.02,Rob DenBleyker
0517,2006.09.03,Dave McElfatrick
0518,2006.09.04,Matt Melvin
0519,2006.09.05,Kris Wilson
0520,2006.09.06,Kris Wilson
0521,2006.09.07,Dave McElfatrick
0522,2006.09.08,Rob DenBleyker
0523,2006.09.10,Kris Wilson
0524,2006.09.11,NA
0525,2006.09.12,Rob DenBleyker
0526,2006.09.13,Dave McElfatrick
0527,2006.09.14,Kris Wilson
0528,2006.09.15,Matt Melvin
0529,2006.09.16,Rob DenBleyker
0530,2006.09.17,Dave McElfatrick
0531,2006.09.18,Dave McElfatrick
0532,2006.09.20,Rob DenBleyker
0533,2006.09.19,Matt Melvin
0534,2006.09.22,Kris Wilson
0535,2006.09.23,Dave McElfatrick
0536,2006.09.24,Rob DenBleyker
0537,2006.09.25,Rob DenBleyker
0538,2006.09.26,Kris Wilson
0539,2006.09.28,Rob DenBleyker
0540,2006.09.27,Matt Melvin
0541,2006.09.29,Rob DenBleyker
0542,2006.09.30,Dave McElfatrick
0543,2006.10.01,Matt Melvin
0544,2006.10.03,Rob DenBleyker
0545,2006.10.04,Matt Melvin
0546,2006.10.05,Dave McElfatrick
0547,2006.10.02,Kris Wilson
0548,2006.10.06,Kris Wilson
0549,2006.10.07,Rob DenBleyker
0550,2006.10.08,Matt Melvin
0551,2006.10.11,Rob DenBleyker
0552,2006.10.09,Dave McElfatrick
0553,2006.10.14,Dave McElfatrick
0554,2006.10.12,Matt Melvin
0555,2006.10.10,Kris Wilson
0556,2006.10.15,Matt Melvin
0557,2006.10.13,Rob DenBleyker
0558,2006.10.17,Rob DenBleyker
0559,2006.10.18,Dave McElfatrick
0560,2006.10.16,Kris Wilson
0561,2006.10.19,Matt Melvin
0562,2006.10.20,Kris Wilson
0563,2006.10.21,Matt Melvin
0564,2006.10.22,Rob DenBleyker
0565,2006.10.24,Rob DenBleyker
0566,2006.10.23,Dave McElfatrick
0567,2006.10.27,Matt Melvin
0568,2006.10.28,Rob DenBleyker
0569,2006.10.25,Dave McElfatrick
0570,2006.10.26,Kris Wilson
0571,2006.10.30,Matt Melvin
0572,2006.10.29,Dave McElfatrick
0573,2006.10.31,Rob DenBleyker
0574,2006.11.01,Rob DenBleyker
0575,2006.11.02,Dave McElfatrick
0576,2006.11.03,Rob DenBleyker
0577,2006.11.04,Matt Melvin
0578,2006.11.07,Rob DenBleyker
0579,2006.11.05,Dave McElfatrick
0580,2006.11.06,Matt Melvin
0581,2006.11.14,Rob DenBleyker
0582,2006.11.08,Dave McElfatrick
0583,2006.11.10,Rob DenBleyker
0584,2006.11.09,Matt Melvin
0585,2006.11.11,Matt Melvin
0586,2006.11.12,Kris Wilson
0587,2006.11.15,Kris Wilson
0588,2006.11.13,Dave McElfatrick
0589,2006.11.17,Dave McElfatrick
0590,2006.11.16,Matt Melvin
0591,2006.11.18,Rob DenBleyker
0592,2006.11.19,Rob DenBleyker
0593,2006.11.20,Dave McElfatrick
0594,2006.11.22,Matt Melvin
0595,2006.11.21,Rob DenBleyker
0596,2006.11.23,Kris Wilson
0597,2006.11.24,Kris Wilson
0598,2006.11.25,Matt Melvin
0599,2006.11.26,Matt Melvin
0600,2006.11.27,Dave McElfatrick
0601,2006.11.28,Rob DenBleyker
0602,2006.11.29,Kris Wilson
0603,2006.11.30,Dave McElfatrick
0604,2006.12.01,Kris Wilson
0605,2006.12.02,Rob DenBleyker
0606,2006.12.03,Dave McElfatrick
0607,2006.12.04,Rob DenBleyker
0608,2006.12.05,Kris Wilson
0609,2006.12.06,Dave McElfatrick
0610,2006.12.07,Rob DenBleyker
0611,2006.12.08,Rob DenBleyker
0612,2006.12.09,Kris Wilson
0613,2006.12.10,Dave McElfatrick
0614,2006.12.11,Kris Wilson
0615,2006.12.12,Dave McElfatrick
0616,2006.12.13,Rob DenBleyker
0617,2006.12.15,Dave McElfatrick
0618,2006.12.16,Matt Melvin
0619,2006.12.17,Kris Wilson
0620,2007.01.01,Rob DenBleyker
0621,2007.01.02,Matt Melvin
0622,2007.01.03,Kris Wilson
0623,2007.01.04,Dave McElfatrick
0624,2007.01.06,Matt Melvin
0625,2007.01.05,Dave McElfatrick
0626,2007.01.07,Rob DenBleyker
0627,2007.01.08,Kris Wilson
0628,2007.01.09,Matt Melvin
0629,2007.01.10,Dave McElfatrick
0630,2007.01.11,Kris Wilson
0631,2007.01.12,Rob DenBleyker
0632,2007.01.14,Matt Melvin
0633,2007.01.15,Dave McElfatrick
0634,2007.01.16,Kris Wilson
0635,2007.01.17,Rob DenBleyker
0636,2007.01.18,Rob DenBleyker
0637,2007.01.19,Rob DenBleyker
0638,2007.01.20,Matt Melvin
0639,2007.01.21,Dave McElfatrick
0640,2007.01.22,Rob DenBleyker
0641,2007.01.23,Matt Melvin
0642,2007.01.24,Dave McElfatrick
0643,2007.01.26,Kris Wilson
0644,2007.01.25,Rob DenBleyker
0645,2007.01.27,Matt Melvin
0646,2007.01.28,Dave McElfatrick
0647,2007.01.29,Rob DenBleyker
0648,2007.01.30,Kris Wilson
0649,2007.01.31,Matt Melvin
0650,2007.02.01,Rob DenBleyker
0651,2007.02.02,Dave McElfatrick
0652,2007.02.03,Kris Wilson
0653,2007.02.04,Matt Melvin
0654,2007.02.05,Rob DenBleyker
0655,2007.02.06,Dave McElfatrick
0656,2007.02.07,Kris Wilson
0657,2007.02.08,Rob DenBleyker
0658,2007.02.09,Matt Melvin
0659,2007.02.10,Dave McElfatrick
0660,2007.02.11,Kris Wilson
0661,2007.02.12,Rob DenBleyker
0662,2007.02.13,Matt Melvin
0663,2007.02.14,Kris Wilson
0664,2007.02.15,Dave McElfatrick
0665,2007.02.16,Matt Melvin
0666,2007.02.17,Rob DenBleyker
0667,2007.02.18,Rob DenBleyker
0668,2007.02.20,Dave McElfatrick
0669,2007.02.19,Kris Wilson
0670,2007.02.22,Rob DenBleyker
0671,2007.02.21,Matt Melvin
0672,2007.02.23,Kris Wilson
0673,2007.02.24,Rob DenBleyker
0674,2007.02.26,Matt Melvin
0675,2007.02.25,Dave McElfatrick
0676,2007.02.27,Matt Melvin
0677,2007.03.01,NA
0678,2007.03.02,NA
0679,2007.03.03,NA
0680,2007.03.04,NA
0681,2007.03.05,NA
0682,2007.03.06,NA
0683,2007.03.07,NA
0684,2007.02.28,Kris Wilson
0685,2007.03.09,Matt Melvin
0686,2007.03.08,Rob DenBleyker
0687,2007.03.10,Kris Wilson
0688,2007.03.11,Rob DenBleyker
0689,2007.03.12,Dave McElfatrick
0690,2007.03.13,Matt Melvin
0691,2007.03.14,Kris Wilson
0692,2007.03.15,Rob DenBleyker
0693,2007.03.16,Rob DenBleyker
0694,2007.03.17,Dave McElfatrick
0695,2007.03.18,Matt Melvin
0696,2007.03.19,Kris Wilson
0697,2007.03.20,Rob DenBleyker
0698,2007.03.21,Dave McElfatrick
0699,2007.03.22,Kris Wilson
0700,2007.03.24,Matt Melvin
0701,2007.03.23,Rob DenBleyker
0702,2007.03.25,Dave McElfatrick
0703,2007.03.26,Rob DenBleyker
0704,2007.03.27,Kris Wilson
0705,2007.03.28,Matt Melvin
0706,2007.03.29,Dave McElfatrick
0707,2007.03.30,Rob DenBleyker
0708,2007.03.31,Kris Wilson
0709,2007.04.01,Matt Melvin
0710,2007.04.02,Dave McElfatrick
0711,2007.04.03,Rob DenBleyker
0712,2007.04.04,Kris Wilson
0713,2007.04.05,Matt Melvin
0714,2007.04.06,Dave McElfatrick
0715,2007.04.07,Rob DenBleyker
0716,2007.04.08,Kris Wilson
0717,2007.04.09,Matt Melvin
0718,2007.04.10,Dave McElfatrick
0719,2007.04.11,Rob DenBleyker
0720,2007.04.12,Kris Wilson
0721,2007.04.13,Matt Melvin
0722,2007.04.14,Kris Wilson
0723,2007.04.15,Rob DenBleyker
0724,2007.04.16,Dave McElfatrick
0725,2007.04.17,Matt Melvin
0726,2007.04.18,Matt Melvin
0727,2007.04.19,Kris Wilson
0728,2007.04.20,Rob DenBleyker
0729,2007.04.21,NA
0730,2007.04.22,Dave McElfatrick
0731,2007.04.23,Matt Melvin
0732,2007.04.25,Rob DenBleyker
0733,2007.04.24,Kris Wilson
0734,2007.04.26,Dave McElfatrick
0735,2007.04.28,Rob DenBleyker
0736,2007.04.27,Kris Wilson
0737,2007.04.29,Rob DenBleyker
0738,2007.04.30,Dave McElfatrick
0739,2007.05.01,Kris Wilson
0740,2007.05.02,Rob DenBleyker
0741,2007.05.03,Dave McElfatrick
0742,2007.05.04,Kris Wilson
0743,2007.05.06,Matt Melvin
0744,2007.05.05,Rob DenBleyker
0745,2007.05.07,Dave McElfatrick
0746,2007.05.08,Rob DenBleyker
0747,2007.05.09,Rob DenBleyker
0748,2007.05.10,Kris Wilson
0749,2007.05.11,Matt Melvin
